mmsi,timestamp,latitude,longitude,speed_knots,course,destination
419001234,2026-08-28T02:00:00Z,14.20,84.10,11.5,315,IN_PRD
419001234,2026-08-28T08:00:00Z,15.10,84.85,10.8,318,IN_PRD
419001234,2026-08-28T14:00:00Z,16.25,85.30,10.5,320,IN_PRD
419001235,2026-08-28T06:00:00Z,20.18,86.60,0.4,0,IN_PRD
419001235,2026-08-28T14:00:00Z,20.19,86.61,0.2,0,IN_PRD
419001236,2026-08-28T06:00:00Z,18.00,84.00,12.0,40,IN_PRD
419001236,2026-08-28T14:00:00Z,18.80,84.70,11.7,42,IN_PRD
419001237,2026-08-28T06:00:00Z,-3.75,115.55,0.3,0,IN_PRD
419001237,2026-08-28T14:00:00Z,-3.76,115.54,0.2,0,IN_PRD
419001238,2026-08-28T06:00:00Z,19.85,86.40,0.5,0,IN_PRD
419001238,2026-08-28T14:00:00Z,19.86,86.41,0.3,0,IN_PRD
419001239,2026-08-28T06:00:00Z,16.50,85.00,12.2,320,IN_VIZ
419001239,2026-08-28T14:00:00Z,17.10,85.50,11.8,323,IN_VIZ
419001234,2026-08-28T18:00:00Z,20.19,86.61,0.5,0,IN_PRD
419001238,2026-08-28T18:00:00Z,20.20,86.62,0.3,0,IN_PRD
